application_id,age,annual_income,employment_length,loan_amount,loan_purpose,interest_rate,dti_ratio,num_open_accounts,num_past_delinquencies,home_ownership,credit_score,months_since_last_delinq,default
1,25,38725.0,11.6,11047.0,debt_consolidation,9.49,0.36,7,1,own,705.0,1.0,0
2,59,56026.0,,8420.0,car,8.7,0.221,5,0,rent,,,0
3,53,90754.0,3.4,13826.0,car,6.11,0.258,8,0,mortgage,807.0,,0
4,42,66699.0,24.8,20775.0,car,10.57,0.375,6,0,mortgage,655.0,,0
5,42,54390.0,2.3,24227.0,medical,8.36,0.262,8,1,mortgage,697.0,13.0,0
6,63,49929.0,3.8,21857.0,medical,9.63,0.26,5,0,rent,677.0,,0
7,25,38862.0,20.0,10752.0,medical,12.36,0.24,8,1,rent,631.0,16.0,0
8,55,67939.0,1.3,9431.0,car,6.05,0.065,5,1,mortgage,724.0,63.0,0
9,31,157926.0,1.1,7542.0,other,7.78,0.37,9,0,rent,734.0,,0
10,25,79088.0,,15129.0,debt_consolidation,11.12,0.317,3,0,mortgage,729.0,,0
11,47,37994.0,5.2,22857.0,car,16.22,0.441,6,1,rent,655.0,3.0,1
12,69,106015.0,3.4,21571.0,car,9.88,0.455,9,0,rent,715.0,,0
13,57,51744.0,5.3,9312.0,other,11.33,0.155,8,0,mortgage,688.0,,1
14,59,73365.0,15.1,43478.0,car,9.93,0.428,3,0,own,736.0,,0
15,56,55583.0,11.4,18707.0,debt_consolidation,9.94,0.335,4,0,rent,663.0,,0
16,60,183597.0,5.2,25573.0,other,9.62,0.426,5,0,own,722.0,,0
17,46,41333.0,9.2,22525.0,medical,11.84,0.328,9,2,mortgage,652.0,51.0,0
18,27,71431.0,5.4,6996.0,debt_consolidation,10.68,0.231,5,0,rent,620.0,,0
19,62,54805.0,1.5,25332.0,medical,12.78,0.294,3,0,rent,723.0,,1
20,43,94510.0,23.5,39559.0,car,11.83,0.313,6,0,rent,618.0,,0
21,46,78576.0,,9120.0,other,10.83,0.611,6,0,rent,717.0,,0
22,39,116670.0,0.5,9267.0,medical,10.81,0.26,8,0,own,716.0,,0
23,30,87181.0,6.9,21034.0,car,11.71,0.262,2,2,rent,634.0,28.0,0
24,67,55918.0,2.8,17124.0,car,11.75,0.449,9,0,rent,753.0,,0
25,60,274458.0,1.9,22240.0,debt_consolidation,9.88,0.361,10,1,mortgage,734.0,17.0,0
26,53,91636.0,0.5,8800.0,car,12.91,0.313,2,0,rent,667.0,,0
27,41,52341.0,1.6,24783.0,other,7.45,0.329,5,1,mortgage,688.0,12.0,0
28,62,81833.0,0.7,6387.0,car,6.87,0.081,8,0,rent,725.0,,0
29,48,92413.0,2.5,13406.0,debt_consolidation,10.58,0.254,9,0,rent,662.0,,0
30,43,88499.0,12.6,19697.0,debt_consolidation,5.0,0.255,4,0,mortgage,776.0,,0
31,43,84728.0,3.2,10614.0,debt_consolidation,9.1,0.247,3,0,own,765.0,,0
32,32,98600.0,3.9,17030.0,car,7.43,0.283,4,0,rent,722.0,,0
33,25,90617.0,3.1,30933.0,debt_consolidation,9.75,0.294,6,1,mortgage,683.0,14.0,0
34,48,47512.0,0.0,10101.0,debt_consolidation,10.04,0.258,3,1,mortgage,678.0,37.0,0
35,65,195420.0,4.5,13025.0,debt_consolidation,6.51,0.223,2,0,own,,,0
36,24,147833.0,3.2,4077.0,debt_consolidation,12.81,0.443,2,1,mortgage,677.0,4.0,0
37,63,107493.0,2.0,18022.0,debt_consolidation,8.43,0.17,7,0,mortgage,726.0,,0
